Bulan,CAR,ROA,NPF,NPF_Net,FDR,BOPO,NOM,APYD_Terhadap_Aktiva_Produktif,Short_Term_Mistmach
2012-01,25.9,2.65,2.68,0,87.27,86.22,0,0,0
2012-02,25.24,2.7,2.82,0,90.49,78.39,0,0,0
2012-03,24.93,2.73,2.76,0,87.13,77.77,0,0,0
2012-04,24.53,2.66,2.85,0,95.39,77.77,0,0,0
2012-05,23.28,2.59,2.93,0,97.95,76.24,0,0,0
2012-06,24.33,2.74,2.88,0,98.59,75.74,0,0,0
2012-07,24.36,2.67,2.92,0,99.91,75.87,0,0,0
2012-08,24.48,2.57,2.78,0,101.03,75.89,0,0,0
2012-09,25.26,2.58,2.74,0,102.1,75.44,0,0,0
2012-10,25.04,2.82,2.58,0,100.84,75.04,0,0,0
2012-11,23.87,2.76,2.5,0,101.19,75.29,0,0,0
2012-12,25.16,2.64,2.22,0,100,74.75,0,0,0
2013-01,25.06,3.07,6.91,0,119.48,79.34,0,0,0
2013-02,24.45,3.05,7.33,0,119.46,79.17,0,0,0
2013-03,24.1,3.06,7.21,0,119.67,79.13,0,0,0
2013-04,22.76,3.14,7.32,0,122.5,78.69,0,0,0
2013-05,22.44,3.1,7.69,0,125.4,78.97,0,0,0
2013-06,22.4,2.98,7.25,0,129.63,78.99,0,0,0
2013-07,22.09,2.87,7.35,0,131.51,79.68,0,0,0
2013-08,22.1,2.63,7.89,0,126.96,81.29,0,0,0
2013-09,21.96,2.85,7.58,0,126.52,80.08,0,0,0
2013-10,22.4,2.9,7.48,0,125.92,79.62,0,0,0
2013-11,24.63,2.89,7.34,0,124.76,79.96,0,0,0
2013-12,22.08,2.79,6.5,0,120.93,80.75,0,0,0
2014-01,16.76,0.08,3.01,0,100.07,80.05,0,0,0
2014-02,16.71,0.13,3.53,0,102.03,83.77,0,0,0
2014-03,16.2,1.16,3.22,0,102.22,91.9,0,0,0
2014-04,16.62,1.15,3.48,0,95.5,84.5,0,0,0
2014-05,16.85,1.13,4.02,0,99.43,76.49,0,0,0
2014-06,16.21,1.12,3.9,0,100.8,71.76,0,0,0
2014-07,15.62,1.05,4.31,0,99.89,79.8,0,0,0
2014-08,14.73,0.93,4.58,0,98.99,81.2,0,0,0
2014-09,14.54,0.97,4.67,0,99.71,82.39,0,0,0
2014-10,15.25,0.92,4.58,0,98.99,75.61,0,0,0
2014-11,15.66,0.87,4.86,0,99.71,93.5,0,0,0
2014-12,16.1,0.8,4.33,0,98.99,92.32,0,0,0
2015-01,14.16,0.88,5.56,3.81,88.85,94.8,0.97,5.75,25.17
2015-02,14.38,0.78,5.83,3.85,89.37,94.23,8.86,5.98,19.05
2015-03,14.43,0.69,5.49,3.62,89.15,95.98,0.75,5.76,19.98
